Created Date,Descriptor,Incident Zip,City,Community Board,Borough
8/10/16,Taste/Odor: Chemical (QA2),10456,City-BRONX,03 BRONX,Borough-BRONX
3/10/10,Cloudy Or Milky Water (QB1),10029,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
5/31/16,Cloudy Or Milky: Other (Use Comments) (QBZ),10306,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
5/31/16,Taste/Odor: Sewer (QA5),11209,City-BROOKLYN,10 BROOKLYN,Borough-BROOKLYN
6/2/16,Taste/Odor: Sewer (QA5),10029,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
6/4/16,Taste/Odor: Musty/Stale (QA4),10302,City-STATEN ISLAND,01 STATEN ISLAND,Borough-STATEN ISLAND
6/6/16,Taste/Odor: Bitter/Metallic (QA3),10463,City-BRONX,08 BRONX,Borough-BRONX
6/7/16,Taste/Odor: Chemical (QA2),10024,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
6/8/16,unknown odor/taste in drinking water (QA6),11225,City-BROOKLYN,09 BROOKLYN,Borough-BROOKLYN
6/9/16,unknown odor/taste in drinking water (QA6),11223,City-BROOKLYN,15 BROOKLYN,Borough-BROOKLYN
6/10/16,Taste/Odor: Bitter/Metallic (QA3),10468,City-BRONX,07 BRONX,Borough-BRONX
6/13/16,unknown odor/taste in drinking water (QA6),11230,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
6/19/16,Cloudy Or Milky Water (QB1),10469,City-BRONX,11 BRONX,Borough-BRONX
6/20/16,Taste/Odor: Sewer (QA5),11222,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
6/20/16,Oil: Grease In Water (QD1),11101,City-Long Island City,02 QUEENS,Borough-QUEENS
6/20/16,Cloudy Or Milky: Other (Use Comments) (QBZ),11210,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
6/21/16,Clear Water With Other Particles (Use Comments) (QEZ),11104,City-Sunnyside,02 QUEENS,Borough-QUEENS
6/20/16,Taste/Odor: Bitter/Metallic (QA3),11355,City-Flushing,07 QUEENS,Borough-QUEENS
6/22/16,Taste/Odor: Musty/Stale (QA4),10029,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
6/22/16,Taste/Odor: Chemical (QA2),10027,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
6/22/16,Clear Water With Other Particles (Use Comments) (QEZ),11358,City-Flushing,07 QUEENS,Borough-QUEENS
6/23/16,unknown odor/taste in drinking water (QA6),11222,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
6/23/16,Taste/Odor: Sewer (QA5),11237,City-BROOKLYN,04 BROOKLYN,Borough-BROOKLYN
6/25/16,Taste/Odor: Sewer (QA5),10314,City-STATEN ISLAND,02 STATEN ISLAND,Borough-STATEN ISLAND
6/26/16,Taste/Odor: Chemical (QA2),10025,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
6/26/16,unknown odor/taste in drinking water (QA6),11233,City-BROOKLYN,03 BROOKLYN,Borough-BROOKLYN
6/27/16,No Sampling Required: Requested Information (QG2),11224,City-BROOKLYN,13 BROOKLYN,Borough-BROOKLYN
6/27/16,Taste/Odor: Chemical (QA2),10456,City-BRONX,04 BRONX,Borough-BRONX
6/27/16,Taste/Odor: Musty/Stale (QA4),11420,City-South Ozone Park,10 QUEENS,Borough-QUEENS
6/27/16,unknown odor/taste in drinking water (QA6),11375,City-Forest Hills,06 QUEENS,Borough-QUEENS
9/8/16,Oil: Grease In Water (QD1),11201,City-BROOKLYN,02 BROOKLYN,Borough-BROOKLYN
3/17/10,Clear Water With Organisms (Insects: Worms) (QE2),10025,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
7/1/16,Taste/Odor: Musty/Stale (QA4),11233,City-BROOKLYN,03 BROOKLYN,Borough-BROOKLYN
7/3/16,Taste/Odor: Chemical (QA2),10306,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
7/3/16,Oil: Grease In Water (QD1),11201,City-BROOKLYN,02 BROOKLYN,Borough-BROOKLYN
7/3/16,Taste/Odor: Chlorine (QA1),10023,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
7/5/16,Taste/Odor: Chemical (QA2),10040,City-NEW YORK,12 MANHATTAN,Borough-MANHATTAN
7/6/16,Taste/Odor: Musty/Stale (QA4),10027,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
7/6/16,Taste/Odor: Chemical (QA2),11221,City-BROOKLYN,03 BROOKLYN,Borough-BROOKLYN
3/18/10,Taste/Odor: Bitter/Metallic (QA3),11413,City-Springfield Gardens,12 QUEENS,Borough-QUEENS
7/7/16,Taste/Odor: Sewer (QA5),10460,City-BRONX,06 BRONX,Borough-BRONX
7/11/16,Taste/Odor: Bitter/Metallic (QA3),10009,City-NEW YORK,03 MANHATTAN,Borough-MANHATTAN
7/12/16,Taste/Odor: Musty/Stale (QA4),10314,City-STATEN ISLAND,01 STATEN ISLAND,Borough-STATEN ISLAND
7/14/16,Clear Water With Other Particles (Use Comments) (QEZ),10301,City-STATEN ISLAND,01 STATEN ISLAND,Borough-STATEN ISLAND
7/16/16,Clear Water With Other Particles (Use Comments) (QEZ),10002,City-NEW YORK,03 MANHATTAN,Borough-MANHATTAN
7/18/16,Taste/Odor: Musty/Stale (QA4),10039,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
7/18/16,Clear Water With Organisms (Insects: Worms) (QE2),10451,City-BRONX,01 BRONX,Borough-BRONX
7/19/16,Clear Water With Other Particles (Use Comments) (QEZ),11206,City-BROOKLYN,03 BROOKLYN,Borough-BROOKLYN
7/19/16,Clear Water With Other Particles (Use Comments) (QEZ),10024,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
7/19/16,Taste/Odor: Bitter/Metallic (QA3),11238,City-BROOKLYN,08 BROOKLYN,Borough-BROOKLYN
7/19/16,No Sampling Required: Requested Information (QG2),11203,City-BROOKLYN,17 BROOKLYN,Borough-BROOKLYN
3/26/10,Taste/Odor: Chemical (QA2),10465,City-BRONX,10 BRONX,Borough-BRONX
3/29/10,Cloudy Or Milky Water (QB1),10306,City-STATEN ISLAND,02 STATEN ISLAND,Borough-STATEN ISLAND
8/1/16,Taste/Odor: Chemical (QA2),11237,City-BROOKLYN,04 BROOKLYN,Borough-BROOKLYN
1/18/10,Taste/Odor: Bitter/Metallic (QA3),11213,City-BROOKLYN,09 BROOKLYN,Borough-BROOKLYN
1/20/10,Taste/Odor: Chemical (QA2),10305,City-STATEN ISLAND,02 STATEN ISLAND,Borough-STATEN ISLAND
1/27/10,Taste/Odor: Bitter/Metallic (QA3),11374,City-Rego Park,06 QUEENS,Borough-QUEENS
1/28/10,Taste/Odor: Chemical (QA2),10022,City-NEW YORK,06 MANHATTAN,Borough-MANHATTAN
2/12/10,Other Water Problem (Use Comments) (QZZ),10309,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
2/23/10,Taste/Odor: Musty/Stale (QA4),11105,City-Astoria,01 QUEENS,Borough-QUEENS
2/28/10,Taste/Odor: Musty/Stale (QA4),11234,City-BROOKLYN,Unspecified BROOKLYN,Borough-BROOKLYN
3/2/10,Taste/Odor: Chemical (QA2),10314,City-STATEN ISLAND,02 STATEN ISLAND,Borough-STATEN ISLAND
4/15/10,Taste/Odor: Chemical (QA2),11364,City-Oakland Gardens,11 QUEENS,Borough-QUEENS
